Id,CID,LastName,FirstName,Party,Office,FECCandID
1,N00036633,Abraham,Ralph,R,LA05,H4LA05221
2,N00035451,Adams,Alma,D,NC12,H4NC12100
3,N00003028,Aderholt,Robert B,R,AL04,H6AL04098
4,N00033997,Aguilar,Pete,D,CA31,H2CA31125
5,N00009888,Alexander,Lamar,R,TNS2,S2TN00058
6,N00033720,Allen,Richard W,R,GA12,H2GA12121
7,N00031938,Amash,Justin,R,MI03,H0MI03126
8,N00031177,Amodei,Mark,R,NV02,H2NV02395
9,N00038285,Arrington,Jodey,R,TX19,H6TX19099
10,N00005736,Babin,Brian,R,TX36,H6TX02079
11,N00037049,Bacon,Donald John,R,NE02,H6NE02125
12,N00042194,Balderson,Troy,R,OH12,H8OH12180
13,N00004367,Baldwin,Tammy,D,WIS1,S2WI00219
14,N00037185,Banks,Jim,R,IN03,H6IN03229
15,N00025495,Barletta,Lou,R,PA11,S8PA00320
16,N00031233,Barr,Andy,R,KY06,H0KY06104
17,N00037019,Barragan,Nanette,D,CA44,H6CA44103
18,N00006236,Barrasso,John A,R,WYS1,S6WY00068
19,N00005656,Barton,Joe,R,TX06,H4TX06117
20,N00031877,Bass,Karen,D,CA37,H0CA33117
21,N00033904,Beatty,Joyce,D,OH03,H2OH03125
22,N00009774,Becerra,Xavier,D,CA34,H2CA30143
23,N00030608,Bennet,Michael,D,COS1,S0CO00211
24,N00030717,Bera,Ami,D,CA07,H0CA03078
25,N00039533,Bergman,John,R,MI01,H6MI01226
26,N00031559,Beutler,Jaime Herrera,R,WA03,H0WA03187
27,N00036018,Beyer,Don,D,VA08,H4VA08224
28,N00039293,Biggs,Andy,R,AZ05,H6AZ05083
29,N00027462,Bilirakis,Gus,R,FL12,H6FL09070
30,N00036449,Bishop,Mike,R,MI08,H4MI08135
31,N00025292,Bishop,Rob,R,UT01,H2UT01094
32,N00002674,Bishop,Sanford,D,GA02,H2GA02031
33,N00031539,Black,Diane,R,TN06,H0TN06257
34,N00003105,Blackburn,Marsha,R,TN07,S8TN00337
35,N00033744,Blum,Rod,R,IA01,H2IA01055
36,N00007727,Blumenauer,Earl,D,OR03,H6OR03064
37,N00031685,Blumenthal,Richard,D,CTS2,S0CT00177
38,N00005195,Blunt,Roy,R,MOS1,S0MO00183
39,N00033474,Bonamici,Suzanne,D,OR01,H2OR01133
40,N00035267,Booker,Cory,D,NJS2,S4NJ00185
41,N00013873,Boozman,John,R,ARS2,S0AR00150
42,N00024866,Bordallo,Madeleine Z,D,GU00,H2GU00033
43,N00035420,Bost,Mike,R,IL12,H4IL12060
44,N00035307,Boyle,Brendan,D,PA13,H4PA13199
45,N00005883,Brady,Kevin,R,TX08,H6TX08100
46,N00001619,Brady,Robert A,D,PA01,H8PA01153
47,N00036013,Brat,Dave,R,VA07,H4VA07143
48,N00033532,Bridenstine,James,R,OK01,H2OK01143
49,N00030910,Brooks,Mo,R,AL05,H0AL05163
50,N00033495,Brooks,Susan,R,IN05,H2IN05082
51,N00036999,Brown,Anthony,D,MD04,H6MD04209
52,N00003535,Brown,Sherrod,D,OHS1,S6OH00163
53,N00034254,Brownley,Julia,D,CA26,H2CA00120
54,N00027626,Buchanan,Vernon,R,FL16,H6FL13148
55,N00030829,Buck,Ken,R,CO04,H4CO04090
56,N00031227,Bucshon,Larry,R,IN08,H0IN08114
57,N00039551,Budd,Ted,R,NC13,H6NC13129
58,N00025219,Burgess,Michael,R,TX26,H2TX26093
59,N00002221,Burr,Richard,R,NCS2,S4NC00089
60,N00033390,Bustos,Cheri,D,IL17,H2IL17071
61,N00027035,Butterfield,G K,D,NC01,H4NC01046
62,N00035380,Byrne,Bradley,R,AL01,H4AL01123
63,N00007099,Calvert,Ken,R,CA42,H2CA37023
64,N00007836,Cantwell,Maria,D,WAS1,S8WA00194
65,N00009771,Capito,Shelley Moore,R,WVS2,S4WV00159
66,N00000267,Capuano,Michael E,D,MA07,H8MA08071
67,N00037015,Carbajal,Salud,D,CA24,H6CA24303
68,N00033373,Cardenas,Tony,D,CA29,H2CA28113
69,N00001955,Cardin,Ben,D,MDS1,S6MD03177
70,N00012508,Carper,Tom,D,DES1,S8DE00079
71,N00029513,Carson,Andre,D,IN07,H8IN07184
72,N00035346,Carter,Buddy,R,GA01,H4GA01039
73,N00025095,Carter,John,R,TX31,H2TX31044
74,N00034128,Cartwright,Matt,D,PA17,H2PA17079
75,N00027503,Casey,Bob,D,PAS2,S6PA00217
76,N00030245,Cassidy,Bill,R,LAS1,S4LA00107
77,N00027514,Castor,Kathy,D,FL14,H6FL11126
78,N00033316,Castro,Joaquin,D,TX20,H2TX35011
79,N00003689,Chabot,Steve,R,OH01,H8OH01043
80,N00028958,Chaffetz,Jason,R,UT03,H8UT03089
81,N00035504,Cheney,Liz,R,WY01,H6WY00159
82,N00030600,Chu,Judy,D,CA27,H0CA32101
83,N00032019,Cicilline,David,D,RI01,H0RI01073
84,N00035278,Clark,Katherine,D,MA05,H4MA05084
85,N00026961,Clarke,Yvette D,D,NY09,H4NY11138
86,N00012460,Clay,William L Jr,D,MO01,H0MO01066
87,N00026790,Cleaver,Emanuel,D,MO05,H4MO05234
88,N00041882,Cloud,Michael,R,TX27,H8TX27049
89,N00002408,Clyburn,James E,D,SC06,H2SC02042
90,N00003328,Cochran,Thad,R,MSS1,S8MS00055
91,N00024753,Coffman,Mike,R,CO06,H8CO06138
92,N00003225,Cohen,Steve,D,TN09,H6TN09068
93,N00025726,Cole,Tom,R,OK04,H2OK04055
94,N00036158,Coleman,Bonnie,D,NJ12,H4NJ12149
95,N00001285,Collins,Chris,R,NY27,H8NY29032
96,N00033518,Collins,Doug,R,GA09,H2GA09150
97,N00000491,Collins,Susan M,R,MES2,S6ME00159
98,N00038260,Comer,James,R,KY01,H6KY01110
99,N00036023,Comstock,Barbara,R,VA10,H4VA10089
100,N00026041,Conaway,Mike,R,TX11,H4TX19136
101,N00029891,Connolly,Gerry,D,VA11,H8VA11062
102,N00004029,Conyers,John Jr,D,MI13,H6MI01028
103,N00034224,Cook,Paul,R,CA08,H2CA08164
104,N00031820,Coons,Chris,D,DES2,S0DE00092
105,N00003132,Cooper,Jim,D,TN05,H2TN05131
106,N00027441,Corker,Bob,R,TNS1,S6TN00216
107,N00024852,Cornyn,John,R,TXS1,S2TX00106
108,N00037260,Correa,Lou,D,CA46,H6CA46116
109,N00026341,Costa,Jim,D,CA16,H4CA20082
110,N00031064,Costello,Ryan,R,PA06,H0PA06076
111,N00033363,Cotton,Tom,R,ARS1,S4AR00103
112,N00024842,Courtney,Joe,D,CT02,H2CT02112
113,N00004614,Cramer,Kevin,R,ND01,S8ND00120
114,N00006267,Crapo,Mike,R,IDS2,S8ID00027
115,N00030770,Crawford,Rick,R,AR01,H0AR01083
116,N00002942,Crist,Charlie,D,FL13,H6FL13205
117,N00001127,Crowley,Joseph,D,NY14,H8NY07046
118,N00033085,Cruz,Ted,R,TXS2,S2TX00312
119,N00024978,Cuellar,Henry,D,TX28,H2TX23082
120,N00009738,Culberson,John,R,TX07,H0TX07055
121,N00001971,Cummings,Elijah E,D,MD07,H6MD07160
122,N00035403,Curbelo,Carlos,R,FL26,H4FL26038
123,N00041221,Curtis,John,R,UT03,H8UT03238
124,N00033054,Daines,Steven,R,MTS2,S2MT00096
125,N00038767,Davidson,Warren,R,OH08,H6OH08315
126,N00004884,Davis,Danny K,D,IL07,H4IL07037
127,N00034784,Davis,Rodney,R,IL13,H2IL13120
128,N00009604,Davis,Susan A,D,CA53,H0CA49055
129,N00007781,DeFazio,Peter,D,OR04,H6OR04047
130,N00006134,DeGette,Diana,D,CO01,H6CO01141
131,N00033897,Delaney,John K,D,MD06,H2MD06195
132,N00000615,DeLauro,Rosa L,D,CT03,H0CT03072
133,N00030693,DelBene,Suzan,D,WA01,H0WA08046
134,N00033449,Demings,Val,D,FL10,H2FL08063
135,N00031593,Denham,Jeff,R,CA10,H0CA19173
136,N00026171,Dent,Charlie,R,PA15,H4PA15087
137,N00034746,DeSantis,Ron,R,FL06,H2FL00292
138,N00030709,Desaulnier,Mark,D,CA11,H0CA10073
139,N00030957,Desjarlais,Scott,R,TN04,H0TN04195
140,N00031317,Deutch,Ted,D,FL22,H0FL19080
141,N00025337,Diaz-Balart,Mario,R,FL25,H2FL25018
142,N00036149,Dingell,Debbie,D,MI12,H4MI12079
143,N00006023,Doggett,Lloyd,D,TX35,H4TX10028
144,N00026586,Donnelly,Joe,D,INS1,S2IN00091
145,N00036928,Donovan,Dan,R,NY11,H6NY11174
146,N00001373,Doyle,Mike,D,PA14,H4PA18131
147,N00027860,Duckworth,Tammy,D,ILS2,S6IL00292
148,N00030967,Duffy,Sean P,R,WI07,H0WI07051
149,N00030752,Duncan,Jeff,R,SC03,H0SC03077
150,N00003209,Duncan,John J Jr,R,TN02,H8TN02069
151,N00037442,Dunn,Neal,R,FL02,H6FL02208
152,N00004981,Durbin,Dick,D,ILS1,S6IL00151
153,N00028257,Ellison,Keith,D,MN05,H6MN05183
154,N00035440,Emmer,Tom,R,MN06,H4MN06087
155,N00001003,Engel,Eliot L,D,NY16,H8NY19058
156,N00006249,Enzi,Mike,R,WYS2,S6WY00126
157,N00035483,Ernst,Joni,R,IAS2,S4IA00129
158,N00007335,Eshoo,Anna,D,CA18,H8CA12098
159,N00034549,Espaillat,Adriano,D,NY13,H2NY13096
160,N00040712,Estes,Ron,R,KS04,H8KS04112
161,N00033217,Esty,Elizabeth,D,CT05,H2CT05131
162,N00038450,Evans,Dwight,D,PA02,H6PA02171
163,N00031672,Farenthold,Blake,R,TX27,H0TX27061
164,N00037288,Faso,John,R,NY19,H6NY19169
165,N00007364,Feinstein,Dianne,D,CAS2,S0CA00199
166,N00039090,Ferguson,Drew,R,GA03,H6GA03113
167,N00033443,Fischer,Deb,R,NES1,S2NE00094
168,N00038779,Fitzpatrick,Brian,R,PA08,H6PA08277
169,N00009573,Flake,Jeff,R,AZS2,S2AZ00141
170,N00030815,Fleischmann,Chuck,R,TN03,H0TN03254
171,N00031545,Flores,Bill,R,TX17,H0TX17104
172,N00026631,Fortenberry,Jeff,R,NE01,H4NE01064
173,N00029139,Foster,Bill,D,IL11,H8IL14067
174,N00026166,Foxx,Virginia,R,NC05,H4NC05146
175,N00002893,Frankel,Lois J,D,FL21,H2FL14053
176,N00029016,Franken,Al,D,MNS1,S8MN00438
177,N00006423,Franks,Trent,R,AZ08,H4AZ04024
178,N00000684,Frelinghuysen,Rodney,R,NJ11,H2NJ05014
179,N00030490,Fudge,Marcia L,D,OH11,H8OH11141
180,N00033281,Gabbard,Tulsi,D,HI02,H2HI02508
181,N00039503,Gaetz,Matt,R,FL01,H6FL01119
182,N00039330,Gallagher,Mike,R,WI08,H6WI08155
183,N00036097,Gallego,Ruben,D,AZ07,H4AZ07043
184,N00030856,Garamendi,John,D,CA03,H0CA10149
185,N00030780,Gardner,Cory,R,COS2,S4CO00395
186,N00038847,Garrett,Tom,R,VA05,H6VA05142
187,N00040733,Gianforte,Greg,R,MT01,H8MT01182
188,N00031128,Gibbs,Bob,R,OH07,H0OH18077
189,N00027658,Gillibrand,Kirsten,D,NYS1,S0NY00410
190,N00026148,Gohmert,Louis B Jr,R,TX01,H4TX04039
191,N00040597,Gomez,Jimmy,D,CA34,H8CA34266
192,N00037615,Gonzalez,Jenniffer,3,PR00,H6PR00082
193,N00038809,Gonzalez,Vicente,D,TX15,H6TX15162
194,N00009154,Goodlatte,Bob,R,VA06,H2VA06115
195,N00030771,Gosar,Paul,R,AZ04,H0AZ01259
196,N00036944,Gottheimer,Josh,D,NJ05,H6NJ05171
197,N00030880,Gowdy,Trey,R,SC04,H0SC04257
198,N00009975,Graham,Lindsey,R,SCS2,S0SC00149
199,N00008799,Granger,Kay,R,TX12,H6TX12060
200,N00001758,Grassley,Chuck,R,IAS1,S0IA00028
201,N00036135,Graves,Garret,R,LA06,H4LA06153
202,N00013323,Graves,Sam,R,MO06,H0MO06073
203,N00030788,Graves,Tom,R,GA14,H0GA09030
204,N00026686,Green,Al,D,TX09,H4TX09095
205,N00005870,Green,Gene,D,TX29,H2TX29030
206,N00032029,Griffith,Morgan,R,VA09,H0VA09055
207,N00025284,Grijalva,Raul M,D,AZ03,H2AZ07070
208,N00029400,Grisham,Michelle Lujan,D,NM01,H8NM01257
209,N00036409,Grothman,Glenn S,R,WI06,H4WI06048
210,N00029675,Guthrie,Brett,R,KY02,H8KY02031
211,N00004874,Gutierrez,Luis V,D,IL04,H2IL08039
212,N00025881,Hanabusa,Colleen,D,HI01,H2HI02110
213,N00035477,Handel,Karen,R,GA06,H8GA06286
214,N00029632,Harper,Gregg,R,MS03,H8MS03067
215,N00029147,Harris,Andy,R,MD01,H8MD01094
216,N00036915,Harris,Kamala,D,CAS1,S6CA00584
217,N00031005,Hartzler,Vicky,R,MO04,H0MO04086
218,N00038397,Hassan,Maggie,D,NHS1,S6NH00091
219,N00002884,Hastings,Alcee L,D,FL20,H2FL23021
220,N00009869,Hatch,Orrin G,R,UTS1,S6UT00063
221,N00031557,Heck,Dennis,D,WA10,H0WA03161
222,N00029835,Heinrich,Martin,D,NMS1,S2NM00088
223,N00033782,Heitkamp,Heidi,D,NDS2,S2ND00099
224,N00027522,Heller,Dean,R,NVS1,S2NV00183
225,N00024922,Hensarling,Jeb,R,TX05,H2TX05121
226,N00040829,Hern,Kevin,R,OK01,H8OK01157
227,N00032243,Hice,Jody,R,GA10,H0GA07125
228,N00027060,Higgins,Brian M,D,NY26,H4NY27076
229,N00039953,Higgins,Clay,R,LA03,H6LA03148
230,N00035792,Hill,French,R,AR02,H4AR02141
231,N00029070,Himes,Jim,D,CT04,H8CT04172
232,N00028139,Hirono,Mazie K,D,HIS2,S2HI00106
233,N00031688,Hoeven,John,R,NDS1,S0ND00093
234,N00033399,Holding,George,R,NC02,H2NC13110
235,N00038429,Hollingsworth,Trey,R,IN09,H6IN09176
236,N00001821,Hoyer,Steny H,D,MD05,H2MD05155
237,N00033630,Hudson,Richard,R,NC08,H2NC08185
238,N00033030,Huffman,Jared,D,CA02,H2CA06259
239,N00030673,Huizenga,Bill,R,MI02,H0MI02094
240,N00031104,Hultgren,Randy,R,IL14,H0IL14080
241,N00029258,Hunter,Duncan D,R,CA50,H8CA52052
242,N00031417,Hurd,Will,R,TX23,H0TX23086
243,N00043298,Hyde-Smith,Cindy,R,MSS1,S8MS00261
244,N00005582,Inhofe,James M,R,OKS2,S4OK00083
245,N00002593,Isakson,Johnny,R,GAS2,S6GA00119
246,N00007017,Issa,Darrell,R,CA49,H0CA48024
247,N00005818,Jackson Lee,Lee, Sheila,D,TX18,H4TX18054
248,N00038858,Jayapal,Pramila,D,WA07,H6WA07458
249,N00033640,Jeffries,Hakeem,D,NY08,H2NY10092
250,N00035531,Jenkins,Evan,R,WV03,S8WV00127
251,N00029077,Jenkins,Lynn,R,KS02,H8KS02090
252,N00032088,Johnson,Bill,R,OH06,H0OH06189
253,N00008122,Johnson,Eddie Bernice,D,TX30,H2TX00015
254,N00027848,Johnson,Hank,D,GA04,H6GA04129
255,N00039106,Johnson,Mike,R,LA04,H6LA04138
256,N00032546,Johnson,Ron,R,WIS2,S0WI00197
257,N00008028,Johnson,Sam,R,TX03,H2TX03118
258,N00042648,Jones,Brenda,D,MI13,H8MI13243
259,N00024817,Jones,Doug,D,ALS1,S0AL00156
260,N00002299,Jones,Walter B Jr,R,NC03,H2NC01081
261,N00027894,Jordan,Jim,R,OH04,H6OH04082
262,N00035007,Joyce,David P,R,OH14,H2OH14064
263,N00033177,Kaine,Tim,D,VAS1,S2VA00142
264,N00003522,Kaptur,Marcy,D,OH09,H2OH09031
265,N00035934,Katko,John,R,NY24,H4NY24073
266,N00031933,Keating,Bill,D,MA09,H0MA10082
267,N00031647,Kelly,Mike,R,PA03,H0PA03271
268,N00035215,Kelly,Robin,D,IL02,H2IL02172
269,N00037003,Kelly,Trent,R,MS01,H6MS01131
270,N00034044,Kennedy,Joe III,D,MA04,H2MA04073
271,N00026823,Kennedy,John,R,LAS2,S4LA00065
272,N00026427,Khanna,Ro,D,CA17,H4CA12055
273,N00033530,Kihuen,Ruben,D,NV04,H2NV00050
274,N00033395,Kildee,Dan,D,MI05,H2MI05119
275,N00034453,Kilmer,Derek,D,WA06,H2WA06129
276,N00004403,Kind,Ron,D,WI03,H6WI03099
277,N00034580,King,Angus,I,MES1,S2ME00109
278,N00001193,King,Pete,R,NY02,H2NY03089
279,N00025237,King,Steven A,R,IA04,H2IA05072
280,N00030667,Kinzinger,Adam,R,IL16,H0IL11052
281,N00027500,Klobuchar,Amy,D,MNS2,S6MN00267
